Id,String
HELLO,やあ
BYE,じゃあな
YOU DIE,あなたは死ぬ
Item1Name,?
Item2Name,盾
Item3Name,弓
Item4Name,ポ?ション
Item1Desc,これは?だ。
Item2Desc,これは盾だ。
Item3Desc,これは弓だ。
Item4Desc,これはポ?ションだ。
Name,名前
Desc,説明
Type,タイプ
Value,値
Cost,コスト
Weapon,武器
Equip,装備
Consumable,消費品
Save,Save
Load,Load
CreateItem,CreateItem
RemoveItem,RemoveItem
SortTimeUp,Time (ToUpper)
SortTimeDown,Time (ToLower)
SortNameUp,Name (ToUpper)
SortNameDown,Name (ToLower)
SortCostUp,Cost (ToUpper)
SortCostDown,Cost (ToLower)
FilterNone,None
FilterWeapon,Weapon
FilterEquip,Equip
FilterConsumable,Consumable
FilterNoneConsumable,NoneConsumable
LanguageKorean,한국어(일본어)
LanguageEnglish,영어(영어)
LanguageJapenise,일본어(일본어)
