Id,String
HELLO,안녕
BYE,잘가
YOU DIE,너 죽음
Item1Name,검
Item2Name,방패
Item3Name,활 
Item4Name,물약 
Item1Desc,이것은 검이다.
Item2Desc,이것은 방패다.
Item3Desc,이것은 활이다.
Item4Desc,이것은 물약이다.
Hero,용사
Skull1,쫄병해골
Skull2,해골병사
Skull3,사령왕
Desc1,마왕을 무찌를 용사
Desc2,정찰병 해골
Desc3,정예 해골
Desc4,해골중 강력함
Heal1,200
Heal2,50
Heal3,150
Heal4,300
Attack1,20
Attack2,5
Attack3,15
Attack4,30
Def1,10
Def2,3
Def3,5
Def4,10
Name,이름
Desc,설명
Type,타입
Value,밸류
Cost,코스트
Weapon,무기
Consumable,소모품
Equip,방어구
Save,저장
Load,불러오기
CreateItem,아이템 생성
RemoveItem,아이템 삭제
SortTimeUp,날짜 (오름차순)
SortTimeDown,날짜 (내림차순)
SortNameUp,이름 (오름차순)
SortNameDown,이름 (내림차순)
SortCostUp,가격 (오름차순)
SortCostDown,가격 (내림차순)
SortAttackDamageAccending,공력력 (높은순)
SortAttackDamageDeccending,공격력 (낮은순)
FilterNone,없음
FilterWeapon,무기
FilterEquip,방어구
FilterConsumable,소모품
FilterNoneConsumable,비 소모품
FilterHealthAccending,체력 150초과
FilterHealthDeccending,체력 150이하
FilterDefenseAccending,방어력 5초과
FilterDefenseDeccending,방어력 5이하
LanguageKorean,한국어
LanguageEnglish,영어
LanguageJapenise,일본어
Health,체력
AttackDamage,공격력
Defense,방어력
